scenario rep R2
1 1 0.429214888313917
1 10 0.505507376982363
1 100 0.490930947040326
1 11 0.4335700599113
1 12 0.456733702003287
1 13 0.498041329512474
1 14 0.486823129061085
1 15 0.515832857701718
1 16 0.406970619581373
1 17 0.514811865512367
1 18 0.532952477319627
1 19 0.490636209867381
1 2 0.460495139715287
1 20 0.441928477862358
1 21 0.505681116158275
1 22 0.484130764259551
1 23 0.516770403717095
1 24 0.449146758041319
1 25 0.402585196831845
1 26 0.466498325120513
1 27 0.438655097878524
1 28 0.447555839671772
1 29 0.509431113234965
1 3 0.501931650133074
1 30 0.421102287961127
1 31 0.375015146527081
1 32 0.462779901948551
1 33 0.443752025443493
1 34 0.45405659029321
1 35 0.468598695500065
1 36 0.487550088406298
1 37 0.462107773406145
1 38 0.392333959468419
1 39 0.48387676715636
1 4 0.469149775414292
1 40 0.499542573481686
1 41 0.520862976759162
1 42 0.439574984076408
1 43 0.508579117215845
1 44 0.455729124637901
1 45 0.468749810047168
1 46 0.489090195221186
1 47 0.485002156963204
1 48 0.464273751244534
1 49 0.503723513132163
1 5 0.38967767880855
1 50 0.405147420370975
1 51 0.457470939873992
1 52 0.447367138897527
1 53 0.492983604356601
1 54 0.511590144277045
1 55 0.483152928902558
1 56 0.512358140997969
1 57 0.482279359258243
1 58 0.464156572037645
1 59 0.545066341827997
1 6 0.438188505653948
1 60 0.406769635331707
1 61 0.471153456839864
1 62 0.524651717283334
1 63 0.507182207750604
1 64 0.490476124571258
1 65 0.411762130409054
1 66 0.362438965952035
1 67 0.474358492928343
1 68 0.433042202151816
1 69 0.502764481129184
1 7 0.438438717672427
1 70 0.438824951000993
1 71 0.491047702535452
1 72 0.499816676941772
1 73 0.501770803118942
1 74 0.483522734820365
1 75 0.426030354031113
1 76 0.505559294866096
1 77 0.468150251110635
1 78 0.477704157269756
1 79 0.499384775145011
1 8 0.465841242209554
1 80 0.495862018866351
1 81 0.454554916346923
1 82 0.421885728241473
1 83 0.423824206472635
1 84 0.503435969182483
1 85 0.487216300340945
1 86 0.399682227372422
1 87 0.536236120523099
1 88 0.510169613518297
1 89 0.445631476814381
1 9 0.522512283822858
1 90 0.471741526784268
1 91 0.45253128600497
1 92 0.464551967183556
1 93 0.518723862250738
1 94 0.495866813411064
1 95 0.506356588925481
1 96 0.476198032076675
1 97 0.466077942894575
1 98 0.486644597853322
1 99 0.455289420235574
2 1 0.452842737181434
2 10 0.44465748062419
2 100 0.528980585069074
2 11 0.495431895023669
2 12 0.49875546428431
2 13 0.474630839605396
2 14 0.454868293045904
2 15 0.475738901717817
2 16 0.463744310926732
2 17 0.500069063218851
2 18 0.477199742720889
2 19 0.512304789909655
2 2 0.441985391615284
2 20 0.46254603238954
2 21 0.450597385482751
2 22 0.48685739625872
2 23 0.437018712211916
2 24 0.386340729912699
2 25 0.524937855096439
2 26 0.497119950013652
2 27 0.485406260596026
2 28 0.475606200566174
2 29 0.42967212689503
2 3 0.477280679351234
2 30 0.498189134591014
2 31 0.430999507054417
2 32 0.473774601672281
2 33 0.469846645874119
2 34 0.496622947046632
2 35 0.46027714544663
2 36 0.436484332982415
2 37 0.524346587686072
2 38 0.384570642329571
2 39 0.463959893780002
2 4 0.471408795897246
2 40 0.475401569687126
2 41 0.466171952206607
2 42 0.470064768427865
2 43 0.540923642890261
2 44 0.44253434272345
2 45 0.449107080539555
2 46 0.465163068484042
2 47 0.412321992991003
2 48 0.50257293130671
2 49 0.483286068872332
2 5 0.436287087790818
2 50 0.471666635853048
2 51 0.453450940618189
2 52 0.420453381227059
2 53 0.499172049338294
2 54 0.520955235105349
2 55 0.440476155681116
2 56 0.4996828214584
2 57 0.34786570260563
2 58 0.491746028975124
2 59 0.467840181783345
2 6 0.478337630773768
2 60 0.418345305360588
2 61 0.502390061904591
2 62 0.428535893983646
2 63 0.436574301298403
2 64 0.513192393430156
2 65 0.468809709443178
2 66 0.393453403641765
2 67 0.457429570582045
2 68 0.45546210272685
2 69 0.475066704732751
2 7 0.464545665318819
2 70 0.500311554537467
2 71 0.440272189627165
2 72 0.469715432066908
2 73 0.504049276885188
2 74 0.442989538936908
2 75 0.492425273313537
2 76 0.451633518158794
2 77 0.484411185615264
2 78 0.496406903988957
2 79 0.45291122886673
2 8 0.505623598323226
2 80 0.477517613078214
2 81 0.385936161675394
2 82 0.468528504581653
2 83 0.492983077112868
2 84 0.481378470861611
2 85 0.443164744531927
2 86 0.472679075497128
2 87 0.369810020678699
2 88 0.521294970707013
2 89 0.505559785202745
2 9 0.463777514043163
2 90 0.506070829778537
2 91 0.464448070327914
2 92 0.482411761912147
2 93 0.450928545210443
2 94 0.50261066116661
2 95 0.451150411925868
2 96 0.505708037982239
2 97 0.472960040562771
2 98 0.495807447388777
2 99 0.423259721519737
