scenario,n,p,cluster_size,n_causal,beta_mean,beta_sd,scale
1,50,100,50,0,0.2,0.05,1
2,50,100,50,10,0.2,0.05,1
3,500,100,50,0,0.2,0.05,1
4,500,100,50,10,0.2,0.05,1
5,50,1000,50,0,0.2,0.05,1
6,50,1000,50,10,0.2,0.05,1
7,500,1000,50,0,0.2,0.05,1
8,500,1000,50,10,0.2,0.05,1
9,50,10000,50,0,0.2,0.05,1
10,50,10000,50,10,0.2,0.05,1
11,500,10000,50,0,0.2,0.05,1
12,500,10000,50,10,0.2,0.05,1
13,50,100000,50,0,0.2,0.05,1
14,50,100000,50,10,0.2,0.05,1
15,500,100000,50,0,0.2,0.05,1
16,500,100000,50,10,0.2,0.05,1
