scenario,rep,r2
2a,1,0.756803840572387
2a,10,0.7280149415085702
2a,100,0.5525774953738891
2a,11,0.8326861461245836
2a,12,0.7272235879821439
2a,13,0.4253688792233769
2a,14,0.536670504585317
2a,15,0.47961787351658064
2a,16,0.7138586614525175
2a,17,0.6907407706749221
2a,18,0.5386244944176752
2a,19,0.8770857355442571
2a,2,0.7466848203634396
2a,20,0.4501005164421533
2a,21,0.5416876022105888
2a,22,0.524786810644156
2a,23,0.35533340935207236
2a,24,0.4991582141474372
2a,25,0.2112114045618573
2a,26,0.4971447444002654
2a,27,0.5180727695724785
2a,28,0.47921647843187026
2a,29,0.6591436956851235
2a,3,0.20996098095485857
2a,30,0.6385694796521114
2a,31,0.5776973158593368
2a,32,0.7601636241950636
2a,33,0.6110994189441638
2a,34,0.6210644932205904
2a,35,0.4204475517264343
2a,36,0.48678902291380893
2a,37,0.6525196339721007
2a,38,0.5494384491853956
2a,39,0.5478671819874927
2a,4,0.7760752935281048
2a,40,0.7959571319746719
2a,41,0.5613429713668021
2a,42,0.5673484755687661
2a,43,0.64459945800005
2a,44,0.5660406516420092
2a,45,0.4493927706734528
2a,46,0.6708803682641008
2a,47,0.5065259679958747
2a,48,0.6280912786932008
2a,49,0.4653809736611308
2a,5,0.7896244597425901
2a,50,0.6092451414683361
2a,51,0.7236648014987304
2a,52,0.6334584724475468
2a,53,0.4738321310593003
2a,54,0.7046551135083657
2a,55,0.6779378621078592
2a,56,0.5945928682186843
2a,57,0.1628717897063067
2a,58,0.7180739996312072
2a,59,0.594335700241613
2a,6,0.76594116526402
2a,60,0.6942191264195927
2a,61,0.7703125462484414
2a,62,0.6037737300360129
2a,63,0.6214201149096708
2a,64,0.7112611608698568
2a,65,0.6335712490232805
2a,66,0.7047276016085696
2a,67,0.6392990063358173
2a,68,0.8286097070548964
2a,69,0.5178283337087844
2a,7,0.6264154135921964
2a,70,0.555328561757476
2a,71,0.765170253036984
2a,72,0.4947399142983188
2a,73,0.6267926306213883
2a,74,0.6265636453814972
2a,75,0.5986139258289663
2a,76,0.6665833906771677
2a,77,0.48044210506803214
2a,78,0.6650288686292511
2a,79,0.6876304518183741
2a,8,0.6490584634558964
2a,80,0.570288170655505
2a,81,0.26974824706616785
2a,82,0.4828049593762825
2a,83,0.6347941577449105
2a,84,0.6543233334458585
2a,85,0.5907003723214523
2a,86,0.7537635633790157
2a,87,0.7590077356005005
2a,88,0.6805332738108815
2a,89,0.6026552410336843
2a,9,0.7928190770615164
2a,90,0.8768008582846065
2a,91,0.7806933324180084
2a,92,0.6673149771473157
2a,93,0.4908403013639636
2a,94,0.6571945669390693
2a,95,0.4134943394526634
2a,96,0.6709009783447963
2a,97,0.5232532809568448
2a,98,0.6054474945127808
2a,99,0.7943234382987059
2b,1,0.8132810238908246
2b,10,0.8968875427450549
2b,100,0.8560462138347781
2b,11,0.9110657122311447
2b,12,0.9596026328286752
2b,13,0.6466338431627444
2b,14,0.8612172775484123
2b,15,0.8000164784706536
2b,16,0.8978565173010316
2b,17,0.8995110280469469
2b,18,0.9137126492526715
2b,19,0.746331722226126
2b,2,0.8562797207325274
2b,20,0.8360585956124016
2b,21,0.9142443940903606
2b,22,0.9038189809928212
2b,23,0.8831947179820495
2b,24,0.9169118021333857
2b,25,0.9152151888196598
2b,26,0.8187386099099435
2b,27,0.8590266529055947
2b,28,0.8993738160906438
2b,29,0.8636809461284162
2b,3,0.7459282227747656
2b,30,0.7480472667834726
2b,31,0.8465758262734076
2b,32,0.8683877630852752
2b,33,0.8810723974402229
2b,34,0.8308626729791037
2b,35,0.9238493697630246
2b,36,0.9121215739931544
2b,37,0.858178567313362
2b,38,0.7128998493674511
2b,39,0.9130130222407931
2b,4,0.8144718723381343
2b,40,0.939414105598134
2b,41,0.9182508520365339
2b,42,0.8214896270177109
2b,43,0.7881692869389492
2b,44,0.8371595274886745
2b,45,0.9223152906644946
2b,46,0.7545642562449157
2b,47,0.9093119781712927
2b,48,0.8719872202785331
2b,49,0.8796081387678115
2b,5,0.811510935803288
2b,50,0.7547317393758965
2b,51,0.8064565496001602
2b,52,0.8344658393789595
2b,53,0.9357155433195873
2b,54,0.8104671212338086
2b,55,0.874308803278387
2b,56,0.8754459255106278
2b,57,0.9362382865542677
2b,58,0.8220101295565959
2b,59,0.8001880445095837
2b,6,0.9424873250781051
2b,60,0.9269333182198175
2b,61,0.8706715618273733
2b,62,0.9277748047949473
2b,63,0.8173727979722016
2b,64,0.9101791189761189
2b,65,0.9324113500345917
2b,66,0.8628899433849126
2b,67,0.8077431330481372
2b,68,0.8578298888592708
2b,69,0.8231459467774304
2b,7,0.8307861161346535
2b,70,0.9486498684751393
2b,71,0.7995584249082912
2b,72,0.9372840629086836
2b,73,0.8050490183478601
2b,74,0.6623667124935657
2b,75,0.7656539481378816
2b,76,0.9388494368869722
2b,77,0.8525966589188966
2b,78,0.8977601282364261
2b,79,0.8742079856588176
2b,8,0.8618318822437016
2b,80,0.8747664447987191
2b,81,0.8661242734168435
2b,82,0.8682540344955026
2b,83,0.94811610468312435
2b,84,0.775323690040249
2b,85,0.8954450581019021
2b,86,0.8598526869527398
2b,87,0.9058940166986253
2b,88,0.6469823037782253
2b,89,0.8088489480247223
2b,9,0.8587290035804644
2b,90,0.8085518384140151
2b,91,0.8328322681480873
2b,92,0.7536903332440745
2b,93,0.8842007982001471
2b,94,0.8641293295068645
2b,95,0.8576301247508918
2b,96,0.9088309112690571
2b,97,0.8439802827502014
2b,98,0.6922494437891175
2b,99,0.8754900409437758
4a,1,0.469804314119141
4a,10,0.5629586839955061
4a,100,0.48031116395721374
4a,11,0.6058458916581033
4a,12,0.587284000940302
4a,13,0.6625771064179282
4a,14,0.4776655198946749
4a,15,0.6362413046906393
4a,16,0.5902872879962753
4a,17,0.7622574534796364
4a,18,0.6870159204233929
4a,19,0.7448326331661164
4a,2,0.5706611645778493
4a,20,0.7262896263380765
4a,21,0.6577497407464525
4a,22,0.688908423836203
4a,23,0.5031442673790077
4a,24,0.5889138627243816
4a,25,0.5556777766024507
4a,26,0.47416553841513354
4a,27,0.4487972778149129
4a,28,0.5977269780986627
4a,29,0.6052381161035306
4a,3,0.409383682102979
4a,30,0.5353261432009644
4a,31,0.5841595750196338
4a,32,0.6864201885500518
4a,33,0.5063587418464821
4a,34,0.44773008858691543
4a,35,0.7524464353956777
4a,36,0.43978936700226773
4a,37,0.5805720607659647
4a,38,0.548653514346211
4a,39,0.6999280572559005
4a,4,0.7267047255708814
4a,40,0.7116396512423248
4a,41,0.5398951610339364
4a,42,0.8246716610304271
4a,43,0.7523141343210553
4a,44,0.6490862660453481
4a,45,0.4673582311629136
4a,46,0.41231678526263377
4a,47,0.7378266142569743
4a,48,0.6890324226164564
4a,49,0.5497718067597769
4a,5,0.7025031754132802
4a,50,0.6285098505748874
4a,51,0.5207392837430108
4a,52,0.5237188623161826
4a,53,0.5875363541260294
4a,54,0.6690795589652725
4a,55,0.5182593083571155
4a,56,0.6048787915725122
4a,57,0.34873280231764664
4a,58,0.6338790922143536
4a,59,0.4100269065747998
4a,6,0.45467021704502253
4a,60,0.5068607583411451
4a,61,0.5320928799157484
4a,62,0.32905061295445964
4a,63,0.6168022150215023
4a,64,0.6493448443403551
4a,65,0.5067275533527954
4a,66,0.4699248827317774
4a,67,0.6502111958807244
4a,68,0.6879349944811726
4a,69,0.4486699804760209
4a,7,0.6963269495808497
4a,70,0.7309454063344385
4a,71,0.6258759921532412
4a,72,0.6859167400613996
4a,73,0.5507902069521388
4a,74,0.5226945465489097
4a,75,0.47608103526383755
4a,76,0.6855333214161506
4a,77,0.7640359176363468
4a,78,0.6736763972232185
4a,79,0.4271735934965319
4a,8,0.5403345810020905
4a,80,0.6992835766058152
4a,81,0.673482276424459
4a,82,0.7491485721271749
4a,83,0.4918646303754108
4a,84,0.6859035669312145
4a,85,0.5262205081189928
4a,86,0.7333381068120438
4a,87,0.6481407934723218
4a,88,0.7001314162855733
4a,89,0.38763204676379587
4a,9,0.466974929836636
4a,90,0.48609548051368506
4a,91,0.6278483659340472
4a,92,0.6838772174365728
4a,93,0.5650989560526618
4a,94,0.6183845305056918
4a,95,0.7376567742871667
4a,96,0.7349266679690726
4a,97,0.7418711077247421
4a,98,0.4838608062320038
4a,99,0.6302397378782842
4b,1,0.7863674851451459
4b,10,0.9183216841012046
4b,100,0.8128042477706815
4b,11,0.8671925088958019
4b,12,0.8931424591112394
4b,13,0.8953288467483774
4b,14,0.8392895137733868
4b,15,0.8374090055952994
4b,16,0.8361557675553208
4b,17,0.8212553140440706
4b,18,0.7971669457938328
4b,19,0.7677922889812933
4b,2,0.7809578016920594
4b,20,0.7960746071333372
4b,21,0.8224294108155528
4b,22,0.709933134317347
4b,23,0.7822477145626552
4b,24,0.7419924089543257
4b,25,0.8370006981566481
4b,26,0.8446623652486845
4b,27,0.749061225901629
4b,28,0.7922255157765532
4b,29,0.9190957976346577
4b,3,0.7607049104106244
4b,30,0.8033693235875219
4b,31,0.8531394003143093
4b,32,0.7772640384563035
4b,33,0.8070781749137734
4b,34,0.9004824452892143
4b,35,0.8835147094366833
4b,36,0.8464738490901591
4b,37,0.8768218348453631
4b,38,0.7962987446837073
4b,39,0.8496383865053606
4b,4,0.8088243304152851
4b,40,0.7606208470360515
4b,41,0.8549195211945494
4b,42,0.723946528801857
4b,43,0.7747831378921414
4b,44,0.7401982180666689
4b,45,0.730726454332472
4b,46,0.867935505272257
4b,47,0.8482268869763213
4b,48,0.7853396225135063
4b,49,0.7958659467161621
4b,5,0.7826328306532684
4b,50,0.7425732657254828
4b,51,0.9008463751380582
4b,52,0.8622793699683335
